,Codigo,Descripcion,Fecha Compra,Fecha Venta,Inv Bodega,Inv Matriz,Inv Serena,Inv Industrial
172,00029299,EMPAQ TAPA VALV MEDIA LUNA NIS BLUEBIRD 1.8 80/83 ,18/10/2013,06/03/2019,,N,N,
173,00029301,EMPAQ TAPA VALV DAIH CHARADE/ASIA TOWNER          ,14/09/2016,17/10/2020,,N,,
174,00029305,EMPAQ TAPA VALV FIAT 125                          ,06/07/2012,05/07/2018,,N,N,
175,00029306,EMPAQ TAPA VALV FIAT 128-RITMO 1100-1300                                                            ,,,,,,
176,00029308,EMPAQ TAPA VALV FIAT STRADA /FIOR 1.7             ,01/07/2011,23/09/2017,,N,N,
177,00029309,EMPAQ TAPA VALV FIAT PTO 1.4/1.6 GT 1.4                                                             ,,21/07/2016,,N,,
178,00029311,EMPAQ TAPA VALV HY H100D/H1/GALLOPER/L200         ,02/08/2013,22/02/2019,,N,N,
179,00029315,EMPAQ TAPA VALV KIA K 2.4 CERES 2.2CC             ,10/09/2013,19/12/2017,,N,N,
180,00029316,EMPAQ TAPA VALV LADA GOMA 1.2/1.5/1.6                                                               ,,,,,,
181,00029317,EMPAQ TAPA VALV LADA SAMARA 1.3/1.5                                                                 ,,,,,,
182,00029320,EMPAQ TAPA VALV MIT LANCER HYUN EXCEL             ,27/01/2021,09/10/2021,,N,N,
183,00029322,EMPAQ TAPA VALV NISSAN CD20 C23 DIESEL                                                              ,,30/07/2019,,N,,
184,00029323,EMPAQ TAPA VALV NISSAN J13/15/18  A12/13          ,01/07/2011,22/06/2020,,N,N,
185,00029325,EMPAQ TAPA VALV NISSAN LD20                       ,10/09/2013,04/07/2015,,N,N,
186,00029327,EMPAQ TAPA VALV OPEL CORSA 1.6 16V                                                                  ,,01/06/2013,,,N,
187,00029329,EMPAQ TAPA VALV OPEL CORSA 1.6CC JGO 2)                                                             ,,02/06/2015,,N,,
188,00029337,EMPAQ TAPA VALV TOY HILUX/HIACE 1Y-2Y-3Y 84/92    ,28/11/2018,10/01/2019,,N,N,
