,Descripcion,Familia,Codigos donde esta duplicado
117,GUIA PARACHOQUE DELANTERO LH PLASTICO TY HILUX,VARIOS ,00085985 - 00085988
118,CORREA 4PK990,CORREAS,00017026 - 00063606
119,BROCHE C36,ACCESORIOS,00015861 - 00044449
120,GUIA CADENA LATERAL NS TERRANO 2.5 DIESEL 02-,NISSAN,00048481 - 00048482
121,SOLENOIDE 12V,ELECTRICO,00002283 - 00002784 - 00008120 - 00079988 - 00080139 - 00080142 - 00081723 - 00081724 - 00081725 - 00084022 - 00084164 - 00086570 - 00087743 - 00092684 - 00098140 - 00111851
122,C 30017,FILTROS,00066952 - 00112123
123,LLAVE SACA FILTRO CADENA,IMPORTACION,00089406 - 00113272
124,EMP CULATA,EMPAQUETADURAS,00200510 - 00200610 - 00200756 - 00201058
125,TAPABARRO DELANTERO LH TOY HILUX,TOY,00069245 - 00097157
126,"CATALITICO UNIV 2"" OVALADO D/C USA",REP VARIOS,00016182 - 00044776
127,ESPEJO PUERTA RH ST80,REP VARIOS,00079979 - 00079981
128,BUJIA NGK DR8EA,BUJIAS,00036473 - 00103130
129,FAROL TRAS LH KIA PREGIO,KIA,00031377 - 00042096
130,MANILLA PUERTA INTERIOR DELANTERA Y TRAS HYUNDAI E,HYUN,00084389 - 00084390
131,FAROL TRAS RH TOY HILUX KUN 05/11,TOY,00019458 - 00037187 - 00068587
132,BROCHE C266,ACCESORIOS,00015712 - 00074678
133,AMORTIGUADOR PORTALON HYUN H1 2.5 05/08,HYUN,00015945 - 00015959
134,JGO VALV RENAULT CLIO KANG MEG 1.6,ROTACION ,00112865 - 00112866
135,CORREA 6PK1400,CORREAS,00039511 - 00099199
136,INDUCIDO CITROEN C15,ENCARGO,00202982 - 00202983
137,JGO PERNO SEGURIDAD M12 P 1.5,ACCESORIOS,00077483 - 00077487
138,LUZ DE FRENO 5 LED 12V,VARIOS ,00092152 - 00092153
139,CAMISA RODAMIENTO 6201,RODAMIENTOS,00038589 - 00057677
140,TAPA RADIADOR 16LBS P,ACCESORIOS,00054589 - 00054697
141,KIT MOTOR,ENCARGO,00200595 - 00200603 - 00200605 - 00200724 - 00201006 - 00201033 - 00202241
142,RETEN HOMOCINETICA LH TY COROLLA,TOY,00070782 - 00110853
143,PAST FRENO PP1027 HY,PASTILLA FRENO,00062416 - 00093802
144,AMORTIGUADOR DELANTERO LH HIDRAULICO PEUGEOT 306XN,PEUG,00080236 - 00080237
145,KIT AJUSTE,ENCARGO,00200548 - 00200550
146,PARACHOQUE TRASERO CROMADO TOYOTA HILUX,TOY,00082563 - 00084722
147,CORONA Y PI�ON,ENCARGO,00200787 - 00200788
148,PLACA DIODO,ELECTRICO,00001574 - 00001575 - 00001577 - 00080140 - 00082230 - 00086405 - 00086569 - 00092144 - 00092468 - 00096873 - 00099426 - 00099427 - 00111970 - 00202402
149,BULBO TEMPERATURA 4PTS VW GOLF A4,VW,00051569 - 00051570
150,TAPABARRO LH TOY NEW YARIS SEDAN 06-10,TOY,00037194 - 00037195
151,RETEN 90 X 110 X 9 TRAS CIG BESTA 2.2/FRONTIER 2.7,RETENES,00035921 - 00035935
152,EMBLEMA DIESEL,ACCESORIOS,00013906 - 00013907
153,BOMBA AGUA RENAULT LAGUNA,RENAULT,00018430 - 00079854
154,PARACHOQUE TRAS TY TERCEL 95/97,TOY,00049118 - 00050720
155,FILTRO ACEITE,ROTACION ,00007459 - 00062274
156,MODULO ENCENDIDO,ELECTRICO,00074674 - 00081866 - 00081996 - 00089751 - 00089753
157,MOTOR DE PARTIDA 12V,ELECTRICO,00073578 - 00080041 - 00082796
158,CAPOT,ENCARGO,00200543 - 00200677 - 00200863
159,PLUMILLA 22 RECTA UNIPOINT,ACCESORIOS,00053401 - 00060507
160,FAROL TRAS RH TOY HILUX,TOY,00062293 - 00066711
161,PARACHOQUE TRASERO HYUNDAI,HYUN,00089571 - 00089674
162,PARACHOQUE KIA RIO 03/05 DELANTERO,KIA,00055010 - 00058842
163,FILTRO ACEITE 2GR,ROTACION ,00112045 - 00113771
164,CAJA REGULADORA,ELECTRICO,00096874 - 00200649 - 00203567
165,RETEN 37X50X6,RETENES,00023499 - 00026016
166,ITEM CREADO POR EL ACTUALIZADOR,,00095483 - 00096660
167,PARACHOQUE DELANTERO TOYOTA HILUX,TOY,00080918 - 00091538
168,REPARACION CREMALLERA DIRECCION,VARIOS ,00039108 - 00044525
169,PRENSA EMB CHEV SAIL,CHEVROLET,00062906 - 00063543
170,PARACHOQUE,ENCARGO,00200675 - 00200885
171,TUERCA HEX INOX 5/8,TUERCAS,00011089 - 00100325
172,COLA ESC CROM 2X20 CM,ACCESORIOS,00016217 - 00016218
173,ABRAZ INOX 11/16 A 1-1/4,ABRAZADERAS,00079640 - 00079650
174,CREMALLERA,ENCARGO,00200833 - 00200835
175,BRAZO AXIAL SOLO SZ ALTO 06/13,SUZUKI,00054413 - 00078735
176,KIT CAZOLETA MAS RODAMIENTO PEUG PARTNER 2012,PEUG,00065040 - 00080046
177,COLA ESC CROM NORMAL 1.3/4X15 CM,ACCESORIOS,00016212 - 00016214
178,PAST FRENO 767 PP1543 MAZDA/FORD,PASTILLA FRENO,00071353 - 00072572
179,ROD TENSOR CORREA DIST HONDA CIVIC 1.6 93/00,HONDA,00062324 - 00065530
180,EMPAQ CULATA TOY HILUX 4Y,TOY,00041493 - 00077210
181,HU 6009Z,FILTROS,00043956 - 00078755
182,PASTILLA FRENO NISSAN PP773,PASTILLA FRENO,00072881 - 00076955
183,TERMINAL DIR SZ VITARA 92/97,SUZUKI,00052734 - 00052735
184,MAZA,ENCARGO,00200521 - 00201336
185,PASTILLA FRENO,VARIOS ,00086101 - 00087828
186,POLEA RUEDA LIBRE OAP,VARIOS ,00081102 - 00081354 - 00097428
187,CORREA DENTADA A62 12.5X1625,CORREAS,00016489 - 00016843
188,AMORTIGUADOR PORTALON LH HY H1 08/,HYUN,00049495 - 00049496
189,FAROL PARACHOQUE LH TOYOTA HILUX,TOY,00086981 - 00086983
190,LOGO TOYOTA,ROTACION ,00008072 - 00078698
191,EMPAQ CULATA RENAULT KANGOO,RENAULT,00066539 - 00068205
192,MALLA XS-2062,IMPORTACION,00096142 - 00096143
