,Codigo,Tipo error,Descripcion,I.Industrial,I.La Serena,I.Matriz,I.Bodega,Ult. fecha compra,Ult.fecha venta
93,00003538,Letras y numeros,C 722,,,,,,
94,00003540,Letras y numeros,C 737,,,,,,
95,00003541,Letras y numeros,C 744,,,,,,
96,00003543,Letras y numeros,C 803,,,,,,
97,00003544,Letras y numeros,C 805,,,,,,
98,00003545,Letras y numeros,C 808,,,,,,
99,00003546,Letras y numeros,C 809,,,,,,
100,00003547,Letras y numeros,C 810x,,,,,,
101,00003548,Letras y numeros,C 811,,,N,,,12/08/2013
102,00003549,Letras y numeros,C 812,,,,,,
103,00003550,Letras y numeros,C 812/10,,,,,,
104,00003551,Letras y numeros,C 814/10,,,,,,
105,00003552,Letras y numeros,C 816/1,N,,,,,14/09/2021
106,00003553,Letras y numeros,C 822,,,,,,
107,00003556,Letras y numeros,C 829,,,,,,
108,00003559,Letras y numeros,C 845,,,,,,
109,00003560,Letras y numeros,C 903,,,N,,,04/03/2014
110,00003561,Letras y numeros,C 904,,,,,,
111,00003562,Letras y numeros,C 905,,,,,,
112,00003563,Letras y numeros,C 906,,,N,S,,21/02/2020
113,00003564,Letras y numeros,C 907,,,,,,
114,00003565,Letras y numeros,C 911,,,N,,,14/07/2012
115,00003566,Letras y numeros,C 911X-2,,,,,,
116,00003567,Letras y numeros,C 912,,,,,,
117,00003568,Letras y numeros,C 914,,,,,,
118,00003569,Letras y numeros,C 915,,,,,,
119,00003570,Letras y numeros,C 919,,,N,,,25/06/2015
120,00003571,Letras y numeros,C 920,,,,,,
121,00003572,Letras y numeros,C 930,,,,,,
122,00003573,Letras y numeros,C 939,,S,,,,
123,00003575,Letras y numeros,C 940,,,,,,
124,00003576,Letras y numeros,C 941,,,N,,,
125,00003578,Letras y numeros,C 944,,,,,,
126,00003581,Letras y numeros,C 957,,,,,,
127,00003582,Letras y numeros,C 1010,,,,,,
128,00003583,Letras y numeros,C 1017,,,,,,
129,00003584,Letras y numeros,C 1022,,,,,,
130,00003585,Letras y numeros,C 1024,,,,,,
131,00003586,Letras y numeros,C 1038,,,,,,
132,00003588,Letras y numeros,C 1038/10,,,,,,
133,00003589,Letras y numeros,C 1040,,,,,,
134,00003591,Letras y numeros,C 1043/1,,,,,,
135,00003592,Letras y numeros,C 1045,,N,N,,,31/05/2019
136,00003593,Letras y numeros,C 1045,,,,,,
137,00003594,Letras y numeros,C 1049,,,,,,
138,00003595,Letras y numeros,C 1051,,,,,,
139,00003596,Letras y numeros,C 1077,,,,S,,
140,00003598,Letras y numeros,C 1090,,,,,,
141,00003599,Letras y numeros,C 1090,,,N,,,21/01/2019
142,00003600,Letras y numeros,C 1104,,,,,,
143,00003601,Letras y numeros,C 1105,,,,,,
144,00003602,Letras y numeros,C 1108,,,,,,
145,00003603,Letras y numeros,C 1108/1,,,,,,
146,00003604,Letras y numeros,C 1109,,,N,S,,20/09/2021
147,00003605,Letras y numeros,C 1110,,,S,,,
148,00003606,Letras y numeros,C 1111/1,,,,,,
149,00003608,Letras y numeros,C 1112/2,,,,,,
150,00003610,Letras y numeros,C 1114,,,,,,
151,00003611,Letras y numeros,C 1115,,,,,,
152,00003612,Letras y numeros,C 1116,,,,,,
153,00003613,Letras y numeros,C 1117,,,,,,
154,00003614,Letras y numeros,C 1118,,,,,,
155,00003615,Letras y numeros,C 1118/5,,,,,,
156,00003616,Letras y numeros,C 1119,,,,,,
157,00003617,Letras y numeros,C 1120,,,,,,
158,00003618,Letras y numeros,C 1120/5,,,,,,
159,00003619,Letras y numeros,C 1121,,N,N,,,10/08/2022
160,00003620,Letras y numeros,C 1123,,,,,,
161,00003621,Letras y numeros,C 1124,,,,,,
162,00003623,Letras y numeros,C 1125,,S,N,,,24/09/2019
163,00003624,Letras y numeros,C 1126,,,,,,
164,00003625,Letras y numeros,C 1127,,,N,,,05/11/2011
165,00003626,Letras y numeros,C 1128,,,,,,
166,00003627,Letras y numeros,C 1129,,,,,,
167,00003628,Letras y numeros,C 1131,,,,,,
168,00003629,Letras y numeros,C 1131/10,,,,,,
169,00003630,Letras y numeros,C 1132/10,,,,,,
170,00003631,Letras y numeros,C 1133,,,,,,
171,00003632,Letras y numeros,C 1134,,,,,,
172,00003633,Letras y numeros,C 1135,,,N,,,05/10/2020
173,00003634,Letras y numeros,C 1138,,,,S,,
174,00003637,Letras y numeros,C 1150,,,,S,,
175,00003638,Letras y numeros,C 1157/2,,,N,S,,09/10/2019
176,00003644,Letras y numeros,C 1175,,,,,,
177,00003646,Letras y numeros,C 1176,,,,,,
178,00003649,Letras y numeros,C 1185,,,,,,
