,Codigo,Descripcion,Fecha Compra,Fecha Venta,Inv Bodega,Inv Matriz,Inv Serena,Inv Industrial
5665,00066795,REG.24V NIPONDENSO ORIGINAL                       ,,,,,,
5666,00066798,JGO DADOS 3/8 32 pzas.7 ACC CROSSMAN              ,02/01/2015,07/02/2015,,N,,
5667,00066825,UNION MANGUERA ESPIRAL 4                          ,24/12/2014,,,N,,
5668,00066826,FABRICACION HOJAS PQTE RESORTES                   ,22/12/2014,09/01/2015,,N,,
5669,00066827,PAPEL ENVOLVER 57 CM X 280MTS ROLLO               ,13/11/2019,13/11/2019,,N,,
5670,00066830,PISTOLA CATLOW MAX 1 AMARILLA 1 DIESEL            ,02/01/2015,02/01/2015,,N,,
5671,00066831,"SWIVEL CATLOW 1"" C7201X1                          ",12/05/2016,12/05/2016,,N,,
5672,00066833,BOMBA KAPPA 75 TS 2 C (40 BAR/76 LTS.)            ,24/12/2014,01/03/2016,,N,,
5673,00066834,IMPRESORA LASER LBP CANON B/N 6000                ,30/01/2015,30/01/2015,S,N,,N
5674,00066835,PISTOLA MAX 1 DIESEL AMARILLA CATLOW              ,,,,,,
5675,00066844,PERNO HEX MM 36 X 360 P 4.0                       ,28/07/2018,30/07/2018,,N,,
5676,00066853,RADIADOR CALEFA NISS D22                          ,07/07/2016,06/01/2015,,N,S,
5677,00066854,MALLA RACHEL BICOLOR 2.10 MTS                     ,,,,,,
5678,00066855,MALLA RACHEL 2.10 MTS BICOLOR 80%                 ,10/09/2015,30/01/2016,,N,,
5679,00066866,"LLAVE BOLA 4"" BSP                                 ",27/12/2014,27/12/2014,,N,,
5680,00066867,"TERMINAL HE/ UNION MANGUERA 4""                    ",27/12/2014,27/12/2014,,N,,
5681,00066870,CORREA LISA C 144 DAYCO                           ,,29/12/2014,,N,,
5682,00066872,CORREA LISA B 113 FIRTS SUPER                     ,,,,,,
5683,00066877,PERNO HEX 10 X 30 P.1.50 GR 10.9                  ,02/12/2022,08/02/2022,S,N,,
5684,00066878,PERNO HEX 10 X 40 P.1.50  10.9                    ,11/08/2022,23/01/2023,S,N,,
5685,00066882,TAPA INTERMEDIA ARRANQUE 50MT                     ,,09/01/2015,,N,,
5686,00066902,MANGUERA ORIG. 21308 A                            ,,,,,,
5687,00066903,MANGUERA ORIG. 21308                              ,,,,,,
5688,00066904,SALIDA MANGUERA ORIG. 21308 J                     ,,,,,,
5689,00066911,KIT COMPL. BLOCK PEUGEOT 206 1.4                  ,,,,,,
5690,00066912,SILLA NEGRA OFICINA                               ,09/07/2015,20/01/2015,,N,,
5691,00066913,RECEPTOR GRAN CAPACIDAD LR1 BOSCH                 ,,,,,,
5692,00066914,RECEPTOR GRAN CAPACIDAD LR2 BOSCH                 ,,,,,,
5693,00066919,"ROLLO FILLS  NEGRO 500MM 2""                       ",,,,,,
5694,00066920,PAPEL KRAFT EXTENDIBLE 70GR 115X150X125 PLIEGO    ,,,,,,
5695,00066921,ALINEAMIENTO PAT. FX-DV-62                        ,,06/01/2015,,N,,
5696,00066928,TENSOR CORREA BT-50 RANGER                        ,,,,,,
5697,00066932,ACRILICO 60X60X5                                  ,06/01/2015,08/01/2015,,N,,
5698,00066946,ALTER. MITSUBISHI L-200 2009 EN ADEL.             ,,,,,,
5699,00066958,FILTRO ELEMENTO MSW60 COMPRESOR SHULZ             ,16/01/2017,16/01/2017,,N,,
5700,00066959,FILTRO COMPLETO MSW60 COMPRESOR SCHULZ            ,12/08/2015,12/08/2015,,N,,
5701,00066967,CABLE ARAFLEX RV-K 4X1.5 MM                       ,08/01/2015,09/01/2015,,N,,
5702,00066968,CABLE ARAFLEZ RV-K 4X2.5 MM                       ,24/05/2022,25/05/2022,S,N,,
