,Codigo,Descripcion,Grupo,Fecha Compra,Fecha Venta,Inv Bodega,Inv Matriz,Inv Serena,Inv Industrial
162,00001061,GOLILLA PLANA 3/4 316                             ,ROTACION ,,,,,,
163,00001062,GOLILLA PLANA 5/8 M16 316                         ,ROTACION ,,,,,,
164,00001063,GOLILLA PRESION 316 3/4 1034006                   ,ROTACION ,,,,,,
165,00001147,GOLILLA PRESION 5/8  316 1034006                  ,ROTACION ,,,,,,
166,00001158,PERNO HEX 3/4 10X5 316 1135079                    ,ROTACION ,,,,,,
167,00001161,PERNO HEX 3/4 10X6 316 RP 1135081                 ,ROTACION ,,,,,,
168,00001162,PERNO HEX 5/8 11X3 316 RP 1135061                 ,ROTACION ,,,,,,
169,00001167,PERNO HEX 5/8 11X3 1/2 316 RP  1135062            ,ROTACION ,,,,,,
170,00001168,PERNO HEX 5/8 11X4 316 RP 1135063                 ,ROTACION ,,,,,,
171,00001173,PERNO HEX 5/8 11X4 1/2 316 RP                     ,ROTACION ,,,,,,N
172,00001174,PERNO HEX 5/8 11X5 316 RP 1135065                 ,ROTACION ,,,,,,
173,00001176,TUERCA HEX 5/8 -11 316 1229010                    ,ROTACION ,,,,,,
174,00001178,PORTO POWER 10 TON. TORIN T71002L                 ,ROTACION ,,,,,,
175,00001196,MESON MURAL ESTANTE INFERIOR AC.INOX DX           ,ROTACION ,,,,,,
176,00001198,MESON MURAL MERCOSUR S/ REPISA ABAJO MS           ,ROTACION ,,,,,,
177,00001201,MESON CENTRAL MERCOSUR S/ REPISA AC.INOX MS       ,ROTACION ,,,,,,
178,00001203,LIBRERO NEO 1.80X0.80MT COLOR PERAL -GRIS 1814    ,ROTACION ,,,,,,
179,00001215,LIBRERO NEO  1.80X0.80 MT COLOR CEREZO-NEGRO 1419 ,ROTACION ,,,,,,
180,00001216,CONJ.LIBRERO NEO 2 PUERTAS+4 PUERTA CEREZO-NEGRO  ,ROTACION ,,,,,,
181,00001217,CONJ.LIBRERO 4 PUERTA +1LIBRERO NEO ABIERTO 228   ,ROTACION ,,,,,,
182,00001223,PH METRO DIG. SOBREMESA  2.00 A 18.00 PH          ,ROTACION ,,,,,,
183,00001224,PH METRO DIG.SOBREMESA 2.00 A 18.00 PH            ,ROTACION ,,,,,,
184,00001234,ABRAZADERA TIPO CD2B 32MM                         ,ROTACION ,,,,,,
185,00001240,CORREA 8V-1700 FENNER                             ,ROTACION ,,,,,,
186,00001245,"TORNILLO MECANICO SOMAR 2.2 3/4"" SCHULZ           ",ROTACION ,,,,,,
187,00001250,TIJERON 85 CM  C/DESMULTIPL                       ,ROTACION ,,,,,,
188,00001257,VOLANTE DE INERCIA MAHINDRA 2.2                   ,ROTACION ,,,,,,
189,00001267,NEUMATICO WESTAKLE                                ,ROTACION ,,,,N,,
190,00001286,FAROL REDONDO 6 LED 9-33V 9W HVF HELLA 162094     ,FAROLES,,,,,,
191,00001287,PLATINA 6 X 5 X 6 MT                              ,ROTACION ,,,,,,
192,00001288,PLATINA 6X 38 X 6 MT                              ,ROTACION ,,,,,,
193,00001291,DISPENSADOR JABON MURO 500CC                      ,ROTACION ,,,,,,
