Codigo,Descripcion,Fecha Compra,Fecha Venta,Inv Bodega,Inv Matriz,Inv Serena,Inv Industrial
00050310,MANGUERA ESPIRAL 4''                              ,24/12/2014,23/12/2014,,N,,
00050329,BARRA HILO 1'' B-7 GALV.                          ,30/01/2021,22/01/2021,,N,,
00050335,CABLE THHN 10 AWG  NEGRO                          ,25/01/2013,11/01/2023,,N,N,
00050349,PLACA DE DIODOS IBR354                            ,05/12/2012,06/12/2012,,N,S,
00050351,KIT DE TERMINALES ELECTRICOS                      ,,11/11/2017,,N,,
00050352,MICROONDAS ANALOGO                                ,,09/10/2012,,N,,
00050353,CALEFÓN JUNKER 13L IONIZADO                       ,,07/12/2012,,N,,
00050390,"UNION AMARICANA GALV  150 NPT  1""                 ",,,,,,
00050393,CARRO ASCENSO Y DESCENSO CABLE ACER.              ,,,,,,
00050396,PERFIL U 100 X 50 X 2MM                           ,,16/10/2012,,N,,
00050397,PERFIL U 50 X 25 X 2 MM                           ,,16/10/2012,,N,,
00050398,PERFIL C 150 X 50 X 15 X 2                        ,,16/10/2012,,N,,
00050403,SOLO TRASLADO POR MUESTRA                         ,,02/05/2017,,N,,
00050467,CONJ.DIFERENCIAL LSD TERRANO 4X4 2012             ,,,,,,
00050468,CARDAN DELANTERO TERRANO 4X4 2010                 ,,,,,,
00050481,FULMINANTE  C-22                                  ,,27/10/2012,,N,,
00050487,FIERRO ESTRIADO 32 MM X 6                         ,10/12/2019,29/09/2014,,N,,
00050491,DESCANSO UCT 204                                  ,09/03/2013,12/03/2013,,N,,
00050492,DESCANSO UCP 205                                  ,09/03/2013,11/03/2013,,N,,
00050493,FIERRO 10 X 10 RIGIDO                             ,,,,,,
00050494,FIERRO  10 X 10  RIGIDO CUADRADO                  ,,16/11/2012,,N,,
00050510,PLANCHA FIERRO DIAMANTADA                         ,29/04/2014,29/04/2014,,N,,
00050527,TIRA  PVC 50 X 1MT X 6MT                          ,,18/10/2012,,N,,
00050528,CODO  PVC  50MM                                   ,07/04/2022,06/04/2022,S,N,,
00050536,ADAPTADOR HE-HE   3/4 NPT                         ,16/10/2012,,,N,,
00050538,ADAPTADOR HE-HI  3/4  NPT                         ,,,,,,
00050539,ADAPTADOR HE-3/4 / HE-1/2 NPT                     ,,,,,,
00050540,ADAPTADOR GALV 3/4 NPT                            ,,,,,,
00050593,NEU 195 R14.                                      ,16/03/2015,19/03/2022,,S,S,
00050597,MANOMETRO 0+16 BAR INOX 1/4 NPT                   ,17/10/2012,19/10/2012,,N,,
00050607,DISPENSADOR JABON 500CC 01                        ,14/09/2015,14/09/2015,,N,,
00050608,DISPENSADOR JABON 500CC 02                        ,14/09/2015,28/12/2018,,N,,
00050620,CERRADUDA  OFICINA/DORMITORIO                     ,21/08/2017,24/08/2017,,N,,
00050644,CAJA AZUL A-120  14 X 24 APILABLE                 ,13/11/2018,12/11/2018,,N,,
00050645,CAJA IMPACTO AZUL A-119-1                         ,10/04/2019,,,,,N
00050646,CAJA AZUL A-120-1 REFORZADA                       ,,,,,,
00050663,"CODO 45 GALV 2"" NPT                               ",04/03/2020,04/03/2020,,N,,
00050664,"CODO 90º   2""  NPT  GALV                          ",27/01/2020,27/01/2020,,N,,
00050681,CORREA 9PK2011                                    ,22/10/2012,09/05/2018,,N,N,
00050701,MICA ROJA                                         ,09/10/2018,07/02/2023,,N,N,
00050730,CODO 90º  A-105 SOCKET  3/4                       ,,,,,,
00050732,CODO 45º  A-105  SOCKET  3/4                      ,,,,,,
00050734,UNION AMARICANA  A-105  SOCKET  3/4               ,,,,,,
00050736,VALVULA BOLA INOX  NPT 3/4                        ,,,,,,
00050740,MOTOBOMBA WB200XTDR HONDA                         ,05/11/2012,05/11/2012,,N,,
00050741,MANGUERA ESPIRAL 3''                              ,25/03/2021,25/03/2021,S,N,,
00050767,CAJA METALICA PICK UP 60 X 60                     ,,,,,,
00050769,CAJA PLASTICA PICK UP CONTICO                     ,01/04/2021,05/04/2021,S,N,N,
00050771,PIROMETRO  FLUKE  MOD: 68/568                     ,,,,,,
00050772,PLANCHA FE LISO  3MM                              ,,,,,,
00050775,NAVAJA AUTO RETRACTIL  SNAP-ON                    ,,,,,,
00050776,REPUETO P/NAVAJA  SNAP-ON                         ,,,,,,
00050796,FILLER MM  SNAP-ON                                ,,,,,,
00050797,FILLER P  SNAP-ON                                 ,,,,,,
00050798,BERBIQUI #1/2   SNAP-ON                           ,,,,,,
