Codigo,Tipo error,Descripcion,I.Industrial,I.La Serena,I.Matriz,I.Bodega,Ult. fecha compra,Ult.fecha venta
00003638,Letras y numeros,C 1157/2,,,N,S,,09/10/2019
00003644,Letras y numeros,C 1175,,,,,,
00003646,Letras y numeros,C 1176,,,,,,
00003649,Letras y numeros,C 1185,,,,,,
00003650,Letras y numeros,C 1186,,,,,,
00003653,Letras y numeros,C 1195,,,,,,
00003654,Letras y numeros,C 1198,,,,,,
00003655,Letras y numeros,C 1205,,N,,,,
00003656,Letras y numeros,C 1206,,,,,,
00003657,Letras y numeros,C 1207,,,,,,
00003658,Letras y numeros,C 1212,,,,,,
00003659,Letras y numeros,C 1213,,,,,,
00003661,Letras y numeros,C 1243,,N,,,,05/04/2014
00003662,Letras y numeros,C 1249,,,,,,
00003663,Letras y numeros,C 1254,,N,N,,,06/02/2017
00003664,Letras y numeros,C 1261,,,,,,
00003667,Letras y numeros,C 1263,,,,,,
00003668,Letras y numeros,C 1270,,,,,,
00003671,Letras y numeros,C 1277,,,,,,
00003676,Letras y numeros,C 1296,,,,,,
00003678,Letras y numeros,C 1311,,,,,,
00003679,Letras y numeros,C 1312,,,,,,
00003681,Letras y numeros,C 1316,,,,,,
00003682,Letras y numeros,C 1323,,,N,,,27/07/2013
00003683,Letras y numeros,C 1327,,,,,,
00003684,Letras y numeros,C 1327/1,,,,,,
00003685,Letras y numeros,C 1337,,,,,,
00003686,Letras y numeros,C 1338,,,,,,
00003687,Letras y numeros,C 1338/1,,,,,,
00003688,Letras y numeros,C 1340,,,N,,,16/01/2019
00003689,Letras y numeros,C 1344,,,,,,
00003691,Letras y numeros,C 1368,,,,,,
00003692,Letras y numeros,C 1370,,N,,,,21/03/2016
00003693,Letras y numeros,C 1370/1,,,,,,
00003694,Letras y numeros,C 1371,,,N,S,17/11/2011,
00003698,Letras y numeros,C 1381,,,,,,
00003699,Letras y numeros,C 1383,,,,,,
00003701,Letras y numeros,C 1394/1,,,,,,
00003702,Letras y numeros,C 1397,,,,,,
00003704,Letras y numeros,C 1411,,,,,,
00003705,Letras y numeros,C 1413,,,N,,,19/07/2013
00003707,Letras y numeros,C 1417,,,N,,,23/03/2016
00003712,Letras y numeros,C 1434,,,,,,
00003714,Letras y numeros,C 1441,,,N,,,21/01/2014
00003715,Letras y numeros,C 1448,,,,,,
00003716,Letras y numeros,C 1449,,,,,,
00003717,Letras y numeros,C 1450,,,,,,
00003718,Letras y numeros,C 1451,,,,,,
00003720,Letras y numeros,C 1465,,,,,,
00003723,Letras y numeros,C 1469,,,,,,
00003725,Letras y numeros,C 1472,,,N,,,29/03/2019
00003726,Letras y numeros,C 1478/10,,,,,,
00003727,Letras y numeros,C 1489,,,N,,,06/11/2015
00003729,Letras y numeros,C 1511,,,,,,
00003730,Letras y numeros,C 1513,,,,,,
00003731,Letras y numeros,C 1517,,,N,,,16/08/2021
00003732,Letras y numeros,C 1519,,,N,,,23/10/2021
00003733,Letras y numeros,C 1519/1,,,,,,
00003734,Letras y numeros,C 1520,,S,,,,21/01/2015
00003735,Letras y numeros,C 1521,,,,,,
00003737,Letras y numeros,C 1523,,,,,,
00003738,Letras y numeros,C 1528/5,,,,,,
00003739,Letras y numeros,C 1529/1,,,,,,
00003740,Letras y numeros,C 1534,,,,,,
00003741,Letras y numeros,C 1535/1,,,N,,,22/04/2022
00003742,Letras y numeros,C 1540,,,N,,19/10/2017,
00003743,Letras y numeros,C 1544,,,,,,
00003744,Letras y numeros,C 1552,,,,,,
00003745,Letras y numeros,C 1555/1,,,,,,
00003746,Letras y numeros,C 1555/4,,,,,,
00003747,Letras y numeros,C 1557,,,,,,
00003749,Letras y numeros,C 1567,,,,,,
00003751,Letras y numeros,C 1572,,,,,,
00003752,Letras y numeros,C 1574,,,,,,
00003753,Letras y numeros,C 1577/1,,,,,,
00003754,Letras y numeros,C 1587,,,,,,
00003756,Letras y numeros,C 1589/1,,,,,,
00003759,Letras y numeros,C 1594,,,,S,,
00003762,Letras y numeros,C 1596/10,,,,,,
00003763,Letras y numeros,C 1598,,,,,,
00003764,Letras y numeros,C 1610,,,,,,
00003766,Letras y numeros,C 1620,,,,,,
00003767,Letras y numeros,C 1632,,,,,,
00003769,Letras y numeros,C 1639,,,,,,
00003770,Letras y numeros,C 1640,,,,,,
00003771,Letras y numeros,C 1642/5,,,,,,
00003772,Letras y numeros,C 1647,,,,,,
00003773,Letras y numeros,C 1649,,,,,,
00003775,Letras y numeros,C 1682,,,,,,
00003777,Letras y numeros,C 1685,,,,,,
00003778,Letras y numeros,C 1720,,,,,,
00003780,Letras y numeros,C 1725,,,N,S,,04/07/2019
00003781,Letras y numeros,C 1732,,,,,,
00003783,Letras y numeros,C 1735,,,,,,
00003784,Letras y numeros,C 1737,,,,,,
00003785,Letras y numeros,C 1741,,,N,,,13/09/2013
00003786,Letras y numeros,C 1747,,,,,,
00003787,Letras y numeros,C 1750,,,,,,
00003788,Letras y numeros,C 1751,,,N,,,05/03/2021
00003790,Letras y numeros,C 1752,,,,,,
00003791,Letras y numeros,C 1753,,,N,,,16/09/2014
00003794,Letras y numeros,C 1767,,,,,,
00003796,Letras y numeros,C 1773,,,,,,
00003799,Letras y numeros,C 1775,,,,,,
00003800,Letras y numeros,C 1791,,,,,,
00003801,Letras y numeros,C 1796,,,,,,
00003802,Letras y numeros,C 1814,,,,,,
00003803,Letras y numeros,C 1817,,,,,,
00003804,Letras y numeros,C 1819,,,,,,
00003805,Letras y numeros,C 1820,,,,,,
00003806,Letras y numeros,C 1821,,,,,,
00003807,Letras y numeros,C 1822,,,,,,
00003809,Letras y numeros,C 1824,,,N,,,12/09/2013
00003812,Letras y numeros,C 1830,,,,,,
00003814,Letras y numeros,C 1834,,N,N,S,,28/01/2021
00003815,Letras y numeros,C 1839,,,,,,
00003816,Letras y numeros,C 1842,,,,,,
00003817,Letras y numeros,C 1847,,,,,,
00003819,Letras y numeros,C 1863,,,,,,
00003820,Letras y numeros,C 1870,,,,,,
00003822,Letras y numeros,C 1892,,,,,,
00003823,Letras y numeros,C 1901,,,,,,
00003824,Letras y numeros,C 1908,,,,,,
00003825,Letras y numeros,C 1917,,,,,,
00003826,Letras y numeros,C 1921,,N,,,,11/08/2014
00003827,Letras y numeros,C 1922,,,,,,
00003829,Letras y numeros,C 1925,,,N,,,28/11/2015
00003831,Letras y numeros,C 1930,,,N,S,,15/05/2018
00003832,Letras y numeros,C 1931,,,,,,
00003833,Letras y numeros,C 1932,,,,,,
00003835,Letras y numeros,C 1935,,,,,,
00003837,Letras y numeros,C 1940,,,,S,,
00003838,Letras y numeros,C 1940/1,,,,,,
00003840,Letras y numeros,C 1948,,,,,,
00003841,Letras y numeros,C 1948/1,,,,,,
00003842,Letras y numeros,C 1951,,,N,,,28/10/2015
00003843,Letras y numeros,C 1972,,S,N,S,,15/09/2022
00003844,Letras y numeros,C 1978,,,,,,
00003846,Letras y numeros,C 1984,,,,,,
00003847,Letras y numeros,C 1985,,,,,,
00003848,Letras y numeros,C 1989/1,,,,,,
00003851,Letras y numeros,C 2028,,,,,,
00003852,Letras y numeros,C 2029,,,,,,
00003853,Letras y numeros,C 2033,,N,N,,,22/06/2019
00003854,Letras y numeros,C 2039,,N,N,S,,
00003855,Letras y numeros,C 2040/1,,,,,,
00003858,Letras y numeros,C 2064,,,N,S,,03/11/2021
00003859,Letras y numeros,C 2065,,,N,,19/10/2017,
00003860,Letras y numeros,C 2066,,,,,,
00003861,Letras y numeros,C 2067,,,,,,
00003862,Letras y numeros,C 2070,,,,,,
00003863,Letras y numeros,C 2073,,,,,,
00003865,Letras y numeros,C 2075,,,,,,
00003866,Letras y numeros,C 2078,,,,,,
00003869,Letras y numeros,C 2088,,,,,,
00003870,Letras y numeros,C 2093/1,,,,,,
00003871,Letras y numeros,C 2095,,,,,,
00003877,Letras y numeros,C 2127,,,,S,,
00003883,Letras y numeros,C 2140/1,,,,,,
00003884,Letras y numeros,C 2144,,,,,,
00003886,Letras y numeros,C 2151,,,,,,
00003887,Letras y numeros,C 2154,,,N,,,
00003889,Letras y numeros,C 2160,,,,,,
00003890,Letras y numeros,C 2180,,,,,,
00003892,Letras y numeros,C 2195,,,,,,
00003900,Letras y numeros,C 2227,,,N,,,26/05/2020
00003902,Letras y numeros,C 2231,,,N,S,,13/06/2019
