,Codigo,Descripcion,Fecha Compra,Fecha Venta,Inv Bodega,Inv Matriz,Inv Serena,Inv Industrial
262,00200334,RODAMIENTO RUEDA COLT 1.6                                                                           ,,,,,,
263,00200335,JGO PISTON 0.50 YARIS 2002                                                                          ,,,,,,
264,00200336,TERMI RH                                                                                            ,,,,,,
265,00200337,PARACHOQUE DEL/TRAS                                                                                 ,,,,,,
266,00200338,TERMINALES                                                                                          ,,,,N,,
267,00200339,PIOLA FRENO DERECHA E IZQ PEU                                                                       ,,,,,,
268,00200340,VARILLA ACEITE                                                                                      ,,,,,,
269,00200341,BANDEJA                                                                                             ,,,,N,,
270,00200342,SEGUN COT 19606                                                                                     ,,,,N,,
271,00200343,JGO EMPA MAZDA                                                                                      ,,,,N,,
272,00200344,ALTERNADOR                                                                                          ,,,,N,,
273,00200345,EXTREM DIR L200                                                                                     ,,,,N,,
274,00200346,BUJE BARRA EST                                                                                      ,,,,N,,
275,00200347,ROTUL INF L200                                                                                      ,,,,N,,
276,00200348,ROTUL SUP L200                                                                                      ,,,,N,,
277,00200349,KIT DISTRIBUCION NISSAN NAVARA                                                                      ,,,,,,
278,00200350,ALZAVIDRIO KIA SIMPLE                                                                               ,,,,,,
279,00200351,ALZAVIDRIO KIA DOBLE                                                                                ,,,,,,
280,00200352,BOMB AGUA K10                                                                                       ,,,,,,
281,00200353,REP FIAT BRAVA                                                                                      ,,,,N,,
282,00200354,BANDEJA P106 93 IZQ..                                                                               ,,,,N,,
283,00200355,BALANCIN BALENO                                                                                     ,,30/06/2012,,N,,
284,00200356,METAL BIELA STD SUZ HAFEI STD                                                                       ,,,,,,
285,00200357,MOTOR PARTIDA 24VOLT FIAT                                                                           ,,,,,,
286,00200358,AMORT. TRASERO IA RIO                                                                               ,,,,,,
287,00200359,RADIADOR                                                                                            ,,,,N,,
288,00200360,CARROCERIA HYUN                                                                                     ,,,,N,,
289,00200361,JGO GUIAS VALV FIAT PALIO                                                                           ,,,,,,
290,00200362,VALV ADM                                                                                            ,,,,,,
291,00200363,VALV ESC                                                                                            ,,,,,,
292,00200364,ROD TENSOR                                                                                          ,,,,,,
293,00200366,SELLO VALV                                                                                          ,,,,,,
294,00200367,SILI GREY                                                                                           ,,11/11/2022,,N,,
295,00200368,CARBURADOR BLUEBIRD 1.8                                                                             ,,,,,,
296,00200371,REP SUZ VITARA                                                                                      ,,,,N,,
297,00200372,ESPEJO LH RENAULT CLIO                                                                              ,,,,,,
298,00200373,CARBURADOR TERCEL SIN CHUPETE                                                                       ,,,,,,
299,00200374,METAL  BANCO SUZ HAFEI STD                                                                          ,,,,,,
300,00200375,REP GRAN MOVE                                                                                       ,,,,N,,
301,00200376,MAZA TRAS                                                                                           ,,,,N,,
302,00200377,BANDEJA FRONTIER                                                                                    ,,,,,,
303,00200378,RADIADOR                                                                                            ,,,,N,,
304,00200379,TERMOSTATO                                                                                          ,,,,N,,
305,00200380,ESPEJO LATERAL DER YARIS                                                                            ,,,,N,,
306,00200381,RADIADOR HYUNDAY GALLOPER 2.5 D4BH DIESEL                                                           ,,,,,,
307,00200382,TENSOR CORR DISTR                                                                                   ,,,,,,
308,00200383,REPUESTOS VW                                                                                        ,,,,,N,
309,00200384,BRAZO OCCILANTE FIAT DUNA                                                                           ,,,,N,,
310,00200385,REP LEGACY                                                                                          ,,,,N,,
311,00200386,ROD EMB                                                                                             ,,,,,,
312,00200387,LUIS ARDILES                                                                                        ,,,,,,
313,00200388,321321                                                                                              ,,,,,,
314,00200389,FAROL ESQUINA                                                                                       ,,,,,N,
315,00200390,32321321                                                                                            ,,,,,,
316,00200391,321321                                                                                              ,,,,,,
317,00200394,ROD CARDAN FORD                                                                                     ,,,,N,,
318,00200395,ROD CARDA                                                                                           ,,,,N,,
319,00200396,TERM INTERIOR                                                                                       ,,,,N,,
320,00200397,TERMOSTATO W52TA-88                                                                                 ,,,,,,
321,00200399,JGO.EMPAQ MOTOR TOY 22RE                                                                            ,,,,,,
322,00200400,RETEN DELANTERO CIGUE�AL                                                                            ,,,,,,
323,00200401,RETEN TRASERO CIGUE�AL                                                                              ,,,,,,
324,00200402,REP LANCER                                                                                          ,,,,N,,
325,00200403,RETEN 30 44 7                                                                                       ,,,,,,
326,00200406,DEPOSITO AGUA PEU 307                                                                               ,,,,,,
327,00200407,RAD KIA MORNING 2009 1.1                                                                            ,,,,,,
328,00200410,CABLE FRENO TRA DER                                                                                 ,,,,N,,
329,00200411,RADIADOR 2104 LADA                                                                                  ,,,,N,,
330,00200412,REP SUZ CARRY 1.000                                                                                 ,,,,N,,
331,00200414,DEPOSITO LIQUIDO HIDRA HYUN ACCEN 94/99                                                             ,,,,,,
332,00200415,VALVULA IAC H100 2.4 BENC                                                                           ,,,,,,
333,00200416,DISCO FRENO RAV 4                                                                                   ,,,,,,
334,00200417,BALANCIN VALV.ESCAPE ACCENT 96/99                                                                   ,,,,,,
335,00200418,JUEGO EMP.HONDA                                                                                     ,,,,,,
336,00200419,EMP. CULATA                                                                                         ,,,,,N,
337,00200422,VAL.ADM FIAT SIENA 1.3  2001                                                                        ,,,,,,
338,00200423,VALV. ESC FIAT SIENA 1.3 2001                                                                       ,,,,,,
339,00200424,RETEN VALV FIAT SIENA 1.3                                                                           ,,,,,,
340,00200426,RODAMIENTO TENSOR LD20                                                                              ,,,,,,
341,00200427,ESPEJO YARIS                                                                                        ,,,,,,
342,00200428,AMORT DEL REXTON                                                                                    ,,,,,,
343,00200429,PARACHOQUE TRAS TERCEL 98                                                                           ,,,,,,
344,00200431,SOPORTE MOTOR TERCEL 2E MEC RH                                                                      ,,,,,,
345,00200432,AMORTIG DEL MOT CANTER 95                                                                           ,,,,,,
346,00200434,ARRA KIA 3600                                                                                       ,,,,,,
347,00200435,METALES BIELA 181955                                                                                ,,,,,,
348,00200436,AMORTIG TRAS                                                                                        ,,,,,,
349,00200437,CARBURADOR ST90                                                                                     ,,,,,,
350,00200438,AMORTIG                                                                                             ,,,,,,
351,00200439,REG VOLTAJE                                                                                         ,,,,,,
352,00200440,METAL BIELA STD ED30                                                                                ,,,,,,
353,00200441,PERNO ZINC 8 X 12 (1.25)                                                                            ,,,,,,
354,00200442,REP LUV 2.2                                                                                         ,,,,,,
355,00200443,60 MTS CADENA 5.0MM ESL. LARGO                                                                      ,,21/04/2016,,,N,
356,00200444,BANDEJA SUSP RH MAZDA 626 2002                                                                      ,,,,,,
357,00200445,TERM LH                                                                                             ,,,,,,
358,00200446,ROD EMB                                                                                             ,,,,,,
359,00200447,TERMOSTATO                                                                                          ,,,,,,
360,00200448,CIGUE�AL SUZX CARRY                                                                                 ,,,,,,
361,00200449,RSD PRU 306 95 1.4                                                                                  ,,,,,,
362,00200450,REPUESTOS CD17                                                                                      ,,,,,,
363,00200451,ROD EMB HYUNDAI                                                                                     ,,,,N,,
364,00200452,ESPEJO RN CLIO 2000/07 LH                                                                           ,,,,,,
365,00200453,EXTREMO DIRECCION 160J                                                                              ,,,,,,
366,00200454,METAL AXIAL G20 0.25                                                                                ,,,,,,
367,00200455,METAL BANCADA G20  0.25                                                                             ,,,,,,
368,00200456,METAL BIELA G20  0.25                                                                               ,,,,,,
369,00200457,CABLE DE BIUJIAS ACCENT 1.5                                                                         ,,,,,,
370,00200458,ROD TENSOR MIT PAJERO 2.5 4D56T                                                                     ,,,,,,
371,00200459,AMORTIG DEL                                                                                         ,,,,,,
372,00200460,BRAZO AUX                                                                                           ,,,,,,
373,00200461,BARRA CENTRA                                                                                        ,,,,,,
374,00200462,ROTULA MAZDA                                                                                        ,,,,,,
